,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
224,贸易行业,600755,厦门国贸,130.0,130.0,12.46,0.66,6.1,-1.0,-4.8,0.66,-3.33
225,贸易行业,600739,辽宁成大,190.0,190.0,13.22,0.63,12.4,-2.5,1.6,14.92,20.04
226,贸易行业,600710,苏美达,133.0,133.0,10.31,1.71,10.19,-2.4,-4.3,9.69,14.11
227,贸易行业,600278,东方创业,66.0,66.0,28.37,0.87,7.53,-0.7,-0.8,3.86,8.82
228,贸易行业,600058,五矿发展,102.0,102.0,47.16,2.03,9.48,-0.2,13.9,24.41,33.15
229,贸易行业,300975,商络电子,83.0,59.0,48.63,3.69,12.01,-4.8,-0.3,4.34,6.85
230,贸易行业,002091,江苏国泰,138.0,136.0,12.68,0.9,8.49,0.7,13.7,18.08,20.94
231,贸易行业,001316,润贝航科,38.0,37.0,24.73,3.09,33.18,-1.4,-3.0,3.11,64.99
232,贸易行业,001287,中电港,157.0,91.0,43.48,2.96,20.7,-6.7,-0.7,19.45,2.48
233,贸易行业,000061,农 产 品,136.0,136.0,35.81,2.14,8.04,0.8,22.7,23.31,15.85
234,贸易行业,000019,深粮控股,78.0,28.0,22.3,1.59,6.81,-0.5,-0.9,1.49,6.07
235,旅游酒店,605108,同庆楼,56.0,56.0,38.82,2.42,21.5,-0.4,10.7,11.63,-11.85
236,旅游酒店,603199,九华旅游,43.0,43.0,15.15,2.72,38.8,-0.5,8.4,8.35,17.33
237,旅游酒店,603136,天目湖,37.0,37.0,33.56,2.76,13.6,-0.5,6.7,11.38,22.85
238,旅游酒店,600576,祥源文旅,89.0,56.0,48.52,3.06,8.43,-1.0,9.2,-1.4,22.35
239,旅游酒店,600258,首旅酒店,170.0,170.0,21.41,1.45,15.23,-3.1,8.9,14.34,6.43
240,旅游酒店,600054,黄山旅游,91.0,64.0,35.82,1.95,12.43,-1.3,5.8,9.9,11.68
