序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
136,300553,集智股份,38.77,6.63,2.41,51590.0,195161691.75,6.6,38.81,36.41,36.41,36.36,1.69,6.06,127.69,5.19,4303969396.0,3298436996.0,0.0,0.1,15.11,83.31
137,300998,宁波方正,26.48,6.56,1.63,87443.0,225142257.0,7.24,26.5,24.7,24.85,24.85,1.8,8.12,144.32,2.82,3632241210.0,2851381758.0,0.0,0.19,58.47,77.6
138,603126,中材节能,6.82,6.56,0.42,833309.0,578212588.0,10.31,7.04,6.38,6.41,6.4,10.4,13.65,-124.45,2.05,4163610000.0,4163610000.0,0.0,-0.15,14.62,-18.81
139,605288,凯迪股份,52.96,6.56,3.26,18339.0,94370724.0,7.04,53.1,49.6,49.79,49.7,3.14,2.61,53.72,1.68,3717734380.0,3717734380.0,-0.08,0.21,40.37,57.62
140,300920,润阳科技,47.82,6.5,2.92,44039.0,209022498.0,7.84,48.37,44.85,44.9,44.9,2.01,6.71,241.49,4.1,4782000000.0,3140446995.0,0.0,-0.02,103.14,184.3
141,300839,博汇股份,11.52,6.47,0.7,122374.0,139579826.98,10.91,11.94,10.76,10.89,10.82,3.38,5.09,-14.85,8.13,2827947917.0,2767185469.0,0.0,0.09,47.69,59.78
142,603829,洛凯股份,19.24,6.47,1.17,121875.0,228129409.0,7.86,19.53,18.11,18.12,18.07,2.66,7.62,27.55,2.92,3078559096.0,3078559096.0,0.05,-1.28,38.62,44.01
143,688683,莱尔科技,25.75,6.45,1.56,25702.0,65284107.0,7.23,25.87,24.12,24.12,24.19,2.35,1.66,93.74,3.98,3995831672.0,3995831672.0,-0.04,-0.08,21.92,30.12
144,300390,天华新能,20.36,6.43,1.23,547154.0,1134379272.46,11.55,21.65,19.44,19.44,19.13,4.3,8.14,1297.58,1.56,16914086044.0,13682079867.0,-0.05,-0.05,8.94,-9.31
145,600605,汇通能源,38.42,6.37,2.3,77482.0,293910504.0,7.59,38.8,36.06,36.28,36.12,3.31,3.76,206.43,5.69,7925370922.0,7925370922.0,-0.03,0.03,11.33,11.2
146,603275,众辰科技,49.1,6.35,2.93,28166.0,135296652.0,7.17,49.3,45.99,46.09,46.17,1.71,6.72,41.96,2.59,7304697884.0,2059374933.0,-0.06,-0.02,36.09,44.97
147,300204,舒泰神,42.18,6.33,2.51,251117.0,1010288453.2,10.18,42.22,38.18,39.0,39.67,0.95,5.32,-2157.61,21.14,20152446370.0,19908086916.0,0.02,-0.02,442.16,469.23
148,300539,横河精密,14.33,6.31,0.85,165308.0,233759287.82,8.38,14.52,13.39,13.54,13.48,4.02,9.61,71.41,5.8,3192726866.0,2464873966.0,-0.07,0.07,10.91,36.61
149,301120,新特电气,13.85,6.29,0.82,620543.0,841948005.86,10.82,14.11,12.7,12.96,13.03,1.04,28.38,140.74,3.4,5144458612.0,3027883704.0,0.14,0.29,61.05,40.18
150,002513,蓝丰生化,6.09,6.28,0.36,506317.0,300246900.38,11.69,6.29,5.62,5.91,5.73,3.25,19.19,-25.79,182.36,2285456893.0,1606884075.0,0.0,-1.14,45.35,35.94
