,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1239,消费电子,688036,传音控股,870.31555884,870.31555884,44.4,4.57,0.3,6.22,0.23,-7.09,-18.37
1240,消费电子,002351,漫步者,117.5399454,68.88203994,28.76,4.4,0.24,4.32,0.17,5.25,-18.65
1241,消费电子,002241,歌尔股份,785.93601049,694.28027601,41.91,2.37,0.24,9.09,0.33,8.59,-12.28
1242,消费电子,002993,奥海科技,108.732156,93.92424691,21.79,2.28,-0.01,5.93,0.22,25.89,-1.8
1243,消费电子,001308,康冠科技,160.86008585,55.06783433,18.73,2.06,-0.1,7.98,0.23,15.55,-15.96
1244,消费电子,301503,智迪科技,30.808,12.508048,28.03,2.96,-0.15,6.72,0.25,11.4,14.37
1245,消费电子,003028,振邦智能,45.31998362,22.08906204,37.98,2.61,-0.18,4.74,0.17,0.77,15.02
1246,消费电子,300843,胜蓝股份,51.23962212,49.16923855,42.5,3.35,-0.18,18.86,0.63,20.15,-10.26
1247,消费电子,002841,视源股份,238.87287824,178.92865265,36.87,1.93,-0.25,5.47,0.23,5.37,-5.27
1248,消费电子,300916,朗特智能,41.19461319,26.29783136,34.03,3.15,-0.29,5.15,0.16,7.59,-3.78
1249,消费电子,601231,环旭电子,313.84754445,313.84754445,23.42,1.8,-0.3,8.53,0.3,9.5,-12.17
